sheet_product,in_stock_tab,in_product_list_tab,sheet_category,sheet_supplier,stock_par_qty,plist_qty,sheet_cost,sheet_cadence,sheet_stock_count,matched_db_key,db_display_name,db_subcategory,db_supplier,db_cost_gross,db_pack_size,db_par_packs,status,cost_basis,needs_confirming
"Jumbo T.Roll 2ply 2.25"" Core J26300 300m",Y,Y,Toiletries,Futures Supplies,24.0,4.0,17.52,6 pk/pm,27.0,toilet_rolls,Toilet Rolls,Main,Futures Supplies,21.02,6,5.5,matched,"sheet=net ex-VAT, DB=gross (x1.20)",
2ply Blue Embossed C/feed Roll 150m 96711,Y,Y,Gym Floor,Futures Supplies,30.0,5.0,11.31,6 pk/pm,20.0,blue_rolls,Blue Rolls,Main,Futures Supplies,13.57,6,5.4,matched,"sheet=net ex-VAT, DB=gross (x1.20)",
Greenspeed Techno Multi - Single 5L (Multi Surface Cleaner),Y,Y,Staff Room,Futures Supplies,2.0,2.0,14.23,,2.5,multipurpose_cleaner,Multipurpose Cleaner,Main,Futures Supplies,17.08,1,0.4,matched,"sheet=net ex-VAT, DB=gross (x1.20)",
Sea Kelp Liquid Hand Wash Refill 5L,Y,Y,Toiletries,Futures Supplies,2.0,2.0,29.12,1.0,0.0,hand_wash,Hand Wash,Main,Futures Supplies,34.94,1,0.8,matched,"sheet=net ex-VAT, DB=gross (x1.20)",
Sea Kelp Luxury Shampoo 5L Refill,Y,Y,Toiletries,Futures Supplies,2.0,2.0,29.12,1.0,1.0,,,,,,,,NEW,no DB price to compare,"note says ""no longer stock"" - retire instead of adding?"
Sea Kelp Luxury Conditioner Refill 5L,Y,Y,Toiletries,Futures Supplies,2.0,2.0,29.12,1.0,1.0,conditioner,Conditioner,Main,Futures Supplies,34.94,1,0.6,matched,"sheet=net ex-VAT, DB=gross (x1.20)",
Sea Kelp Luxury Hand & Body Lotion 5L Refill (Moisturiser),Y,Y,Toiletries,Futures Supplies,3.0,3.0,29.12,1.0,3.0,moisturiser,Moisturiser,Main,Futures Supplies,34.94,1,0.6,matched,"sheet=net ex-VAT, DB=gross (x1.20)",
Odyssey Black Pepper & Sandalwood Shampoo & Body Wash 5L,Y,Y,Toiletries,Out of Eden,6.0,6.0,18.89,7.0,3.0,shampoo,Shampoo & Body Wash,Main,Out of Eden,22.67,1,7,matched,"sheet=net ex-VAT, DB=gross (x1.20)",
First Aid Dressing 12x12cm,Y,Y,First Aid,Amazon?,8.0,8.0,,,,,,,,,,,NEW - first aid line item (replaces hs_refills kit),,
First Aid Dressing 18x18cm,Y,Y,First Aid,Amazon?,4.0,4.0,,,,,,,,,,,NEW - first aid line item (replaces hs_refills kit),,
Triangular Bandages,Y,Y,First Aid,Amazon?,8.0,8.0,,,,,,,,,,,NEW - first aid line item (replaces hs_refills kit),,
Safety Pins,Y,Y,First Aid,Amazon?,48.0,48.0,,,,,,,,,,,NEW - first aid line item (replaces hs_refills kit),,
Eye Pad Bandages,Y,Y,First Aid,Amazon?,8.0,8.0,,,,,,,,,,,NEW - first aid line item (replaces hs_refills kit),,
Washproof Plasters,Y,Y,First Aid,Amazon?,160.0,160.0,,,,blue_plasters,Blue Plasters,FOH Desk,Amazon,3.57,,1,matched,,"First Aid line vs DB FOH-Desk ""Blue Plasters"" - same item?"
Sterile Wipes,Y,Y,First Aid,Amazon?,80.0,80.0,,,,,,,,,,,NEW - first aid line item (replaces hs_refills kit),,
Waterproof Tape,Y,Y,First Aid,Amazon?,4.0,4.0,,,,,,,,,,,NEW - first aid line item (replaces hs_refills kit),,
Blue Gloves,Y,Y,First Aid,Amazon?,24.0,24.0,,,,,,,,,,,NEW - first aid line item (replaces hs_refills kit),,
Finger Dressing,Y,Y,First Aid,Amazon?,8.0,8.0,,,,,,,,,,,NEW - first aid line item (replaces hs_refills kit),,
Face Shield,Y,Y,First Aid,Amazon?,4.0,4.0,,,,,,,,,,,NEW - first aid line item (replaces hs_refills kit),,
Foil Blankets,Y,Y,First Aid,Amazon?,4.0,4.0,,,,,,,,,,,NEW - first aid line item (replaces hs_refills kit),,
Burn Dressing 10x10cm,Y,Y,First Aid,Amazon?,4.0,4.0,,,,,,,,,,,NEW - first aid line item (replaces hs_refills kit),,
Clothing Cutters,Y,Y,First Aid,Amazon?,4.0,4.0,,,,,,,,,,,NEW - first aid line item (replaces hs_refills kit),,
Conforming Bandages,Y,Y,First Aid,Amazon?,4.0,4.0,,,,,,,,,,,NEW - first aid line item (replaces hs_refills kit),,
Ice packs,Y,Y,First Aid,Amazon?,,,,,,ice_packs,Ice Packs,FOH Desk,Amazon,8.28,24,24,matched,,
Hair Bands,Y,Y,FOH Desk,Amazon?,1.0,1.0,3.99,1 p/m,0.0,hair_bands,Hair Bands,FOH Desk,Amazon,4.89,100,1,matched,CHANGED (DB/sheet=1.23),
Chalk Block,Y,Y,Gym Floor,Amazon,2.0,2.0,15.99,2 p/m,1.0,chalk_block,Chalk Block,Main,Amazon,13.32,8,2,matched,CHANGED (DB/sheet=0.83),
