delivery_date,product_name_raw,invoice_description,qty_cases,supplier,unit_cost_net,net_amount
2026-02-26,toilet_rolls,"Jumbo T.Roll 2ply 2.25"" Core J26300 300m",4,Futures Supplies,15.25,61.00
2026-03-09,shampoo,Odyssey Black Pepper & Sandalwood Shampoo & Body Wash 5L,6,Out of Eden,17.95,107.68
2026-03-11,toilet_rolls,"Jumbo T.Roll 2ply 2.25"" Core J26300 300m",4,Futures Supplies,15.25,61.00
2026-03-11,blue_rolls,2ply Blue Embossed C/feed Roll 150m 96711,6,Futures Supplies,9.98,59.88
2026-03-11,multipurpose_cleaner,Greenspeed Techno Multi - Single 5L (Multi Surface Cleaner),2,Futures Supplies,14.23,28.46
2026-04-10,toilet_rolls,"Jumbo T.Roll 2ply 2.25"" Core J26300 300m",4,Futures Supplies,16.30,65.20
2026-04-10,blue_rolls,2ply Blue Embossed C/feed Roll 150m 96711,4,Futures Supplies,10.67,42.68
2026-04-10,conditioner,Sea Kelp Luxury Conditioner Refill 5L,1,Futures Supplies,29.12,29.12
2026-04-10,hand_wash,Sea Kelp Liquid Hand Wash Refill 5L,2,Futures Supplies,29.12,58.24
2026-04-10,(unmapped - Sea Kelp shampoo),Sea Kelp Luxury Shampoo 5L Refill,2,Futures Supplies,29.12,58.24
2026-04-28,shampoo,Odyssey Black Pepper & Sandalwood Shampoo & Body Wash 5L,4,Out of Eden,18.89,75.56
2026-05-13,shampoo,Odyssey Black Pepper & Sandalwood Shampoo & Body Wash 5L,4,Out of Eden,18.90,75.60
2026-05-15,moisturiser,Sea Kelp Luxury Hand & Body Lotion 5L Refill (Moisturiser),1,Futures Supplies,29.12,29.12
2026-05-15,conditioner,Sea Kelp Luxury Conditioner Refill 5L,1,Futures Supplies,29.12,29.12
2026-05-19,moisturiser,Sea Kelp Luxury Hand & Body Lotion 5L Refill (Moisturiser),2,Futures Supplies,29.12,58.24
2026-05-19,conditioner,Sea Kelp Luxury Conditioner Refill 5L,1,Futures Supplies,29.12,29.12
2026-05-19,toilet_rolls,"Jumbo T.Roll 2ply 2.25"" Core J26300 300m",5,Futures Supplies,16.30,81.50
2026-05-19,blue_rolls,2ply Blue Embossed C/feed Roll 150m 96711,5,Futures Supplies,10.67,53.35
2026-05-19,hand_wash,Sea Kelp Liquid Hand Wash Refill 5L,2,Futures Supplies,29.12,58.24
2026-06-04,toilet_rolls,"Jumbo T.Roll 2ply 2.25"" Core J26300 300m",4,Futures Supplies,17.52,70.08
2026-06-04,blue_rolls,2ply Blue Embossed C/feed Roll 150m 96711,4,Futures Supplies,11.31,45.24
2026-06-04,shampoo,Odyssey Black Pepper & Sandalwood Shampoo & Body Wash 5L,5,Out of Eden,18.90,94.50
2026-06-25,shampoo,Odyssey Black Pepper & Sandalwood Shampoo & Body Wash 5L,6,Out of Eden,18.90,113.40
2026-07-21,shampoo,Odyssey Black Pepper & Sandalwood Shampoo & Body Wash 5L,6,Out of Eden,18.89,113.35
2026-07-23,toilet_rolls,"Jumbo T.Roll 2ply 2.25"" Core J26300 300m",6,Futures Supplies,17.52,105.12
2026-07-23,blue_rolls,2ply Blue Embossed C/feed Roll 150m 96711,5,Futures Supplies,11.31,56.55
