product,key,category,supplier,units_per_pack,your_par_qty,monthly_usage_units,usage_source,cover_days,calculated_min,note_min,note_min_text,MIN_STOCK_UNITS,set_by,order_up_to_units,implied_order_every_days,count_as_entered,count_basis,count_basis_evidence,count_in_units,monthly_usage_for_sizing,review
"Jumbo T.Roll 2ply 2.25"" Core J26300 300m",toilet_rolls,Toiletries,Futures Supplies,6,24.0,45.7,burn-checked (7.61 vs 5.59 purchase floor),16,24.0,,,24.0,your Par Qty,57.5,30.0,27.0,units,"note: ""counted in rolls""",27.0,33.5,
2ply Blue Embossed C/feed Roll 150m 96711,blue_rolls,Gym Floor,Futures Supplies,6,30.0,50.8,burn-checked (8.46 vs 4.97 purchase floor),16,26.7,,,30.0,your Par Qty,59.8,30.0,20.0,units,"note: ""counted per roll""",20.0,29.8,
Greenspeed Techno Multi - Single 5L (Multi Surface Cleaner),multipurpose_cleaner,Staff Room,Futures Supplies,1,2.0,0.4,purchase floor (reactive ordering - understated),12,0.2,,,2.0,your Par Qty,2.4,30.0,2.5,n/a,one item per pack,2.5,0.4,
Sea Kelp Liquid Hand Wash Refill 5L,hand_wash,Toiletries,Futures Supplies,1,2.0,0.9,burn-checked (0.86 vs 0.83 purchase floor),16,0.5,,,2.0,your Par Qty,2.8,29.0,0.0,n/a,count is zero - same either way,0.0,0.8,
Sea Kelp Luxury Shampoo 5L Refill,(new),Toiletries,Futures Supplies,,2.0,,none,12,,,,2.0,your Par Qty,,,1.0,AMBIGUOUS,no pack/unit basis recorded,,,units_per_pack unknown; no monthly usage figure
Sea Kelp Luxury Conditioner Refill 5L,conditioner,Toiletries,Futures Supplies,1,2.0,0.6,purchase floor (reactive ordering - understated),12,0.2,,,2.0,your Par Qty,2.6,29.0,1.0,n/a,one item per pack,1.0,0.6,
Sea Kelp Luxury Hand & Body Lotion 5L Refill (Moisturiser),moisturiser,Toiletries,Futures Supplies,1,3.0,0.6,purchase floor (reactive ordering - understated),12,0.2,,,3.0,your Par Qty,3.6,29.0,3.0,n/a,one item per pack,3.0,0.6,
Odyssey Black Pepper & Sandalwood Shampoo & Body Wash 5L,shampoo,Toiletries,Out of Eden,1,6.0,11.4,burn-checked (11.42 vs 6.42 purchase floor),16,6.0,,,6.0,your Par Qty,12.4,30.0,3.0,n/a,one item per pack,3.0,6.4,
First Aid Dressing 12x12cm,(new),First Aid,Amazon?,,8.0,,none,12,,,,8.0,your Par Qty,,,4,units,"counted 2026-08-04, all 4 boxes, individual items",4.0,,units_per_pack unknown; no monthly usage figure
First Aid Dressing 18x18cm,(new),First Aid,Amazon?,,4.0,,none,12,,,,4.0,your Par Qty,,,3,units,"counted 2026-08-04, all 4 boxes, individual items",3.0,,units_per_pack unknown; no monthly usage figure
Triangular Bandages,(new),First Aid,Amazon?,,8.0,,none,12,,,,8.0,your Par Qty,,,12,units,"counted 2026-08-04, all 4 boxes, individual items",12.0,,units_per_pack unknown; no monthly usage figure
Safety Pins,(new),First Aid,Amazon?,,48.0,,none,12,,,,48.0,your Par Qty,,,44,units,"counted 2026-08-04, all 4 boxes, individual items",44.0,,units_per_pack unknown; no monthly usage figure
Eye Pad Bandages,(new),First Aid,Amazon?,,8.0,,none,12,,,,8.0,your Par Qty,,,23,units,"counted 2026-08-04, all 4 boxes, individual items",23.0,,units_per_pack unknown; no monthly usage figure
Washproof Plasters,blue_plasters,First Aid,Amazon?,,160.0,,estimate (unverified),12,,,,160.0,your Par Qty,,,0,units,"counted 2026-08-04, all 4 boxes, individual items",0.0,,units_per_pack unknown
