product_name_raw,Product name,Category,Location,Count unit,Supplier,Product description,Pack size,Price per pack,Par qty,Par unit,Min override,Minimum,Min confirmed,Order class,Notes
toilet_rolls,Toilet Roll,Washroom,Toiletries,rolls,Futures Supplies,"Jumbo T.Roll 2ply 2.25"" Core J26300 300m",6,17.52,4,packs,,"=IF(L2<>"""",L2,IF(J2="""","""",IF(K2=""packs"",IF(H2="""","""",J2*H2),J2)))",yes,reorder,
blue_rolls,Blue Roll (centrefeed),Cleaning,Gym Floor,rolls,Futures Supplies,2ply Blue Embossed C/feed Roll 150m 96711,6,11.31,5,packs,,"=IF(L3<>"""",L3,IF(J3="""","""",IF(K3=""packs"",IF(H3="""","""",J3*H3),J3)))",yes,reorder,
multipurpose_cleaner,Multi-Surface Cleaner 5L,Cleaning,Staff Room,bottles,Futures Supplies,Greenspeed Techno Multi - Single 5L (Multi Surface Cleaner),1,14.23,2,packs,,"=IF(L4<>"""",L4,IF(J4="""","""",IF(K4=""packs"",IF(H4="""","""",J4*H4),J4)))",yes,reorder,
hand_wash,Hand Wash 5L,Toiletries,Toiletries,bottles,Out of Eden,Odyssey Black Pepper & Sandalwood Hand Wash 5L,1,20.99,2,packs,,"=IF(L5<>"""",L5,IF(J5="""","""",IF(K5=""packs"",IF(H5="""","""",J5*H5),J5)))",yes,reorder,price corrected to net; v4's 25.19 was VAT-inclusive (invoice 2026-08-07)
conditioner,Conditioner 5L,Toiletries,Toiletries,bottles,Out of Eden,Odyssey Black Pepper & Sandalwood Conditioner 5L,1,20.99,2,packs,,"=IF(L6<>"""",L6,IF(J6="""","""",IF(K6=""packs"",IF(H6="""","""",J6*H6),J6)))",yes,reorder,price corrected to net; v4's 25.19 was VAT-inclusive (invoice 2026-08-07)
moisturiser,Hand & Body Lotion 5L,Toiletries,Toiletries,bottles,Out of Eden,Odyssey Black Pepper & Sandalwood Hand & Body Lotion 5L,1,20.99,3,packs,,"=IF(L7<>"""",L7,IF(J7="""","""",IF(K7=""packs"",IF(H7="""","""",J7*H7),J7)))",yes,reorder,price corrected to net; v4's 25.19 was VAT-inclusive (invoice 2026-08-07)
shampoo,Shampoo & Body Wash 5L,Toiletries,Toiletries,bottles,Out of Eden,Odyssey Black Pepper & Sandalwood Shampoo & Body Wash 5L,1,20.99,6,packs,,"=IF(L8<>"""",L8,IF(J8="""","""",IF(K8=""packs"",IF(H8="""","""",J8*H8),J8)))",yes,reorder,price corrected to net; v4's 25.19 was VAT-inclusive (invoice 2026-08-07)
hair_bands,Hair Bands,Member Supplies,FOH Desk,bands,Amazon?,Hair Bands,100,3.99,1,packs,,"=IF(L9<>"""",L9,IF(J9="""","""",IF(K9=""packs"",IF(H9="""","""",J9*H9),J9)))",yes,reorder,pack size unverified (from old DB row)
chalk_block,Chalk Block,Gym,Gym Floor,blocks,Amazon,Chalk Block,8,15.99,2,items,,"=IF(L10<>"""",L10,IF(J10="""","""",IF(K10=""packs"",IF(H10="""","""",J10*H10),J10)))",yes,reorder,Par Unit set to items: v3 said 2 blocks and the shelf held 1; 2 cases of 8 would be 16 blocks
puly_caffe_cleaner,Coffee Machine Cleaner,Cleaning,Cafe,bottles,Amazon,Puly Caffe Cleaner,2,21.47,1,packs,,"=IF(L11<>"""",L11,IF(J11="""","""",IF(K11=""packs"",IF(H11="""","""",J11*H11),J11)))",yes,reorder,
