product_name_raw,display_name,location,supplier,order_link_or_desc,price_per_pack_gbp,units_per_pack,packs_per_month_par,_review
toilet_rolls,"Jumbo T.Roll 2ply 2.25"" Core J26300 300m",Toiletries,Futures Supplies,6 rolls per pack. counteed in rolls,17.52,6,5.5,QTY CONFLICT Stock=24.0 vs ProductList=4.0 (units vs packs?)
blue_rolls,2ply Blue Embossed C/feed Roll 150m 96711,Gym Floor,Futures Supplies,6 pk. counted per roll,11.31,6,5.4,QTY CONFLICT Stock=30.0 vs ProductList=5.0 (units vs packs?)
multipurpose_cleaner,Greenspeed Techno Multi - Single 5L (Multi Surface Cleaner),Staff Room,Futures Supplies,5L.,14.23,1,0.4,
hand_wash,Sea Kelp Liquid Hand Wash Refill 5L,Toiletries,Futures Supplies,5L,29.12,1,0.8,
sea_kelp_luxury_shampoo_5l_refill,Sea Kelp Luxury Shampoo 5L Refill,Toiletries,Futures Supplies,no longer stock,29.12,,,"NEW item - confirm slug/par/pack size; note says ""no longer stock"" - retire instead of adding?; units_per_pack unknown"
conditioner,Sea Kelp Luxury Conditioner Refill 5L,Toiletries,Futures Supplies,5L,29.12,1,0.6,
moisturiser,Sea Kelp Luxury Hand & Body Lotion 5L Refill (Moisturiser),Toiletries,Futures Supplies,5L,29.12,1,0.6,
shampoo,Odyssey Black Pepper & Sandalwood Shampoo & Body Wash 5L,Toiletries,Out of Eden,Odyssey Black Pepper & Sandalwood Shampoo & Body Wash 5L,18.89,1,7,
first_aid_dressing_12x12cm,First Aid Dressing 12x12cm,First Aid,Amazon?,Split between 4 boxes,,,,NEW item - confirm slug/par/pack size; units_per_pack unknown; no price
first_aid_dressing_18x18cm,First Aid Dressing 18x18cm,First Aid,Amazon?,Split between 4 boxes,,,,NEW item - confirm slug/par/pack size; units_per_pack unknown; no price
triangular_bandages,Triangular Bandages,First Aid,Amazon?,Split between 4 boxes,,,,NEW item - confirm slug/par/pack size; units_per_pack unknown; no price
safety_pins,Safety Pins,First Aid,Amazon?,Split between 4 boxes,,,,NEW item - confirm slug/par/pack size; units_per_pack unknown; no price
eye_pad_bandages,Eye Pad Bandages,First Aid,Amazon?,Split between 4 boxes,,,,NEW item - confirm slug/par/pack size; units_per_pack unknown; no price
blue_plasters,Washproof Plasters,First Aid,Amazon?,Split between 4 boxes,,,1,"First Aid line vs DB FOH-Desk ""Blue Plasters"" - same item?; units_per_pack unknown; no price"
sterile_wipes,Sterile Wipes,First Aid,Amazon?,Split between 4 boxes,,,,NEW item - confirm slug/par/pack size; units_per_pack unknown; no price
waterproof_tape,Waterproof Tape,First Aid,Amazon?,Split between 4 boxes,,,,NEW item - confirm slug/par/pack size; units_per_pack unknown; no price
blue_gloves,Blue Gloves,First Aid,Amazon?,Split between 4 boxes,,,,NEW item - confirm slug/par/pack size; units_per_pack unknown; no price
finger_dressing,Finger Dressing,First Aid,Amazon?,Split between 4 boxes,,,,NEW item - confirm slug/par/pack size; units_per_pack unknown; no price
