product_name_raw,display_name,location,supplier,order_link_or_desc,price_per_pack_gbp,units_per_pack,count_unit,par_qty_sheet,par_unit,par_unit_basis,min_stock_units,min_confirmed,order_class,units_per_pack_source,par_source,min_source,_review
toilet_rolls,Toilet Roll,Toiletries,Futures Supplies,"Jumbo T.Roll 2ply 2.25"" Core J26300 300m",17.52,6,rolls,4,packs,v4 Par x Pack Size reproduces v3's item figure exactly,24,yes,reorder,sheet Pack Size,sheet Par Qty (4 packs) x 6 items/pack,Par Qty in items,
blue_rolls,Blue Roll (centrefeed),Gym Floor,Futures Supplies,2ply Blue Embossed C/feed Roll 150m 96711,11.31,6,rolls,5,packs,v4 Par x Pack Size reproduces v3's item figure exactly,30,yes,reorder,sheet Pack Size,sheet Par Qty (5 packs) x 6 items/pack,Par Qty in items,
multipurpose_cleaner,Multi-Surface Cleaner 5L,Staff Room,Futures Supplies,Greenspeed Techno Multi - Single 5L (Multi Surface Cleaner),14.23,1,5L bottles,2,packs,"pack of 1, so packs and items are the same number",2,yes,reorder,sheet Pack Size,sheet Par Qty (2 packs) x 1 items/pack,Par Qty in items,
hand_wash,Hand Wash 5L,Toiletries,Out of Eden,Odyssey Black Pepper & Sandalwood Hand Wash 5L,25.19,1,5L bottles,2,packs,"pack of 1, so packs and items are the same number",2,yes,reorder,sheet Pack Size,sheet Par Qty (2 packs) x 1 items/pack,Par Qty in items,
conditioner,Conditioner 5L,Toiletries,Out of Eden,Odyssey Black Pepper & Sandalwood Conditioner 5L,25.19,1,5L bottles,2,packs,"pack of 1, so packs and items are the same number",2,yes,reorder,sheet Pack Size,sheet Par Qty (2 packs) x 1 items/pack,Par Qty in items,
moisturiser,Hand & Body Lotion 5L,Toiletries,Out of Eden,Odyssey Black Pepper & Sandalwood Hand & Body Lotion 5L,25.19,1,5L bottles,3,packs,"pack of 1, so packs and items are the same number",3,yes,reorder,sheet Pack Size,sheet Par Qty (3 packs) x 1 items/pack,Par Qty in items,
shampoo,Shampoo & Body Wash 5L,Toiletries,Out of Eden,Odyssey Black Pepper & Sandalwood Shampoo & Body Wash 5L,25.19,1,5L bottles,6,packs,"pack of 1, so packs and items are the same number",6,yes,reorder,sheet Pack Size,sheet Par Qty (6 packs) x 1 items/pack,Par Qty in items,
hair_bands,Hair Bands,FOH Desk,Amazon?,Hair Bands,3.99,100,bands,1,packs,v4 Par x Pack Size reproduces v3's item figure exactly,100,yes,reorder,carried from live Supabase row - unverified,sheet Par Qty (1 packs) x 100 items/pack,Par Qty in items,pack size unverified (from old DB row)
chalk_block,Chalk Block,Gym Floor,Amazon,Chalk Block,15.99,8,blocks,2,items,v3 said 2 blocks and the shelf held 1; 2 cases of 8 would be 16 blocks,2,yes,reorder,sheet Pack Size,"sheet Par Qty (2 items), Par Unit = items",Par Qty in items,Par Unit set to items: v3 said 2 blocks and the shelf held 1; 2 cases of 8 would be 16 blocks
puly_caffe_cleaner,Coffee Machine Cleaner,Cafe,Amazon,Puly Caffe Cleaner,21.47,2,bottles,1,packs,v4 Par x Pack Size reproduces v3's item figure exactly,2,yes,reorder,sheet Pack Size,sheet Par Qty (1 packs) x 2 items/pack,Par Qty in items,
tampons,Tampons,Toiletries,Amazon,Tampons,17.28,64,tampons,,,,,yes,reorder,sheet Pack Size,no Par Qty set,not set,
pads,Sanitary Pads,Toiletries,Amazon,Sanitary Pads,7.99,44,pads,,,,,yes,reorder,sheet Pack Size,no Par Qty set,not set,
d_batteries,D Batteries (Ergs),FOH Desk,Amazon,D Batteries (Ergs),15.99,8,batteries,1,packs,v4 Par x Pack Size reproduces v3's item figure exactly,10,yes,reorder,sheet Pack Size,sheet Par Qty (1 packs) x 8 items/pack,"stated in sheet notes: ""Need to have 10 on hand""",
key_fobs,Key Fobs,FOH Desk,,Key Fobs,,,fobs,,,,,yes,measure_only,unknown,no Par Qty set,not set,"pack size unknown - cannot size an order; no price; measure-only: counted, never auto-ordered"
blue_cloth,Blue Cloth Roll,Cafe,Amazon,"J Cloth Roll — 6 Blue Cloth Rolls, 150 Sheets",11.98,6,rolls,2,packs,"2 cases = 12 rolls, double v3's 6 - deliberate increase?",12,no,reorder,override: sheet's 150 is sheets/roll; order unit is a 6-roll case,sheet Par Qty (2 packs) x 6 items/pack,Par Qty in items,"CONFIRM Par Unit: 2 cases = 12 rolls, double v3's 6 - deliberate increase?"
