Take date:,,,,
Counted by:,,,,
Product name,Category,Location,Count,Unit
D Batteries (Ergs),"=IFERROR(VLOOKUP($A4,Products!$B:$E,2,FALSE),"""")","=IFERROR(VLOOKUP($A4,Products!$B:$E,3,FALSE),"""")",,"=IFERROR(VLOOKUP($A4,Products!$B:$E,4,FALSE),"""")"
Hair Bands,"=IFERROR(VLOOKUP($A5,Products!$B:$E,2,FALSE),"""")","=IFERROR(VLOOKUP($A5,Products!$B:$E,3,FALSE),"""")",,"=IFERROR(VLOOKUP($A5,Products!$B:$E,4,FALSE),"""")"
Key Fobs,"=IFERROR(VLOOKUP($A6,Products!$B:$E,2,FALSE),"""")","=IFERROR(VLOOKUP($A6,Products!$B:$E,3,FALSE),"""")",,"=IFERROR(VLOOKUP($A6,Products!$B:$E,4,FALSE),"""")"
Notepads,"=IFERROR(VLOOKUP($A7,Products!$B:$E,2,FALSE),"""")","=IFERROR(VLOOKUP($A7,Products!$B:$E,3,FALSE),"""")",,"=IFERROR(VLOOKUP($A7,Products!$B:$E,4,FALSE),"""")"
Pens,"=IFERROR(VLOOKUP($A8,Products!$B:$E,2,FALSE),"""")","=IFERROR(VLOOKUP($A8,Products!$B:$E,3,FALSE),"""")",,"=IFERROR(VLOOKUP($A8,Products!$B:$E,4,FALSE),"""")"
Printer Ink - Black,"=IFERROR(VLOOKUP($A9,Products!$B:$E,2,FALSE),"""")","=IFERROR(VLOOKUP($A9,Products!$B:$E,3,FALSE),"""")",,"=IFERROR(VLOOKUP($A9,Products!$B:$E,4,FALSE),"""")"
Printer Ink - Blue,"=IFERROR(VLOOKUP($A10,Products!$B:$E,2,FALSE),"""")","=IFERROR(VLOOKUP($A10,Products!$B:$E,3,FALSE),"""")",,"=IFERROR(VLOOKUP($A10,Products!$B:$E,4,FALSE),"""")"
Printer Ink - Pink,"=IFERROR(VLOOKUP($A11,Products!$B:$E,2,FALSE),"""")","=IFERROR(VLOOKUP($A11,Products!$B:$E,3,FALSE),"""")",,"=IFERROR(VLOOKUP($A11,Products!$B:$E,4,FALSE),"""")"
Printer Ink - Yellow,"=IFERROR(VLOOKUP($A12,Products!$B:$E,2,FALSE),"""")","=IFERROR(VLOOKUP($A12,Products!$B:$E,3,FALSE),"""")",,"=IFERROR(VLOOKUP($A12,Products!$B:$E,4,FALSE),"""")"
Printer Paper,"=IFERROR(VLOOKUP($A13,Products!$B:$E,2,FALSE),"""")","=IFERROR(VLOOKUP($A13,Products!$B:$E,3,FALSE),"""")",,"=IFERROR(VLOOKUP($A13,Products!$B:$E,4,FALSE),"""")"
Blue Cloth Roll,"=IFERROR(VLOOKUP($A14,Products!$B:$E,2,FALSE),"""")","=IFERROR(VLOOKUP($A14,Products!$B:$E,3,FALSE),"""")",,"=IFERROR(VLOOKUP($A14,Products!$B:$E,4,FALSE),"""")"
Coffee Machine Cleaner,"=IFERROR(VLOOKUP($A15,Products!$B:$E,2,FALSE),"""")","=IFERROR(VLOOKUP($A15,Products!$B:$E,3,FALSE),"""")",,"=IFERROR(VLOOKUP($A15,Products!$B:$E,4,FALSE),"""")"
Washing Up Liquid 5L,"=IFERROR(VLOOKUP($A16,Products!$B:$E,2,FALSE),"""")","=IFERROR(VLOOKUP($A16,Products!$B:$E,3,FALSE),"""")",,"=IFERROR(VLOOKUP($A16,Products!$B:$E,4,FALSE),"""")"
Blue Roll (centrefeed),"=IFERROR(VLOOKUP($A17,Products!$B:$E,2,FALSE),"""")","=IFERROR(VLOOKUP($A17,Products!$B:$E,3,FALSE),"""")",,"=IFERROR(VLOOKUP($A17,Products!$B:$E,4,FALSE),"""")"
